id,marcaId,nome
1,1,"Gol"
2,1,"Polo"
3,1,"Virtus"
4,1,"T-Cross"
5,1,"Nivus"
6,2,"Onix"
7,2,"Onix Plus"
8,2,"Tracker"
9,2,"Spin"
10,2,"S10"
11,3,"Mobi"
12,3,"Argo"
13,3,"Cronos"
14,3,"Strada"
15,3,"Toro"
16,4,"Yaris"
17,4,"Corolla"
18,4,"Corolla Cross"
19,4,"Hilux"
20,5,"HB20"
21,5,"Creta"
22,6,"City"
23,6,"Civic"
24,6,"HR-V"
25,6,"Fit"
26,7,"Renegade"
27,7,"Compass"
28,7,"Commander"
29,8,"Kwid"
30,8,"Sandero"
31,8,"Duster"
32,9,"Ranger"
33,9,"Territory"
34,10,"320i"
35,10,"X1"
36,10,"X3"
